id	genes
R01187	(k249_531167_28) or (k249_702968_2)
R04929	(k249_531167_28) or (k249_696185_11) or (k249_888932_4) or (k249_888932_5)
R00220	(k249_531167_36) or (k249_1155537_1) or (k249_1455622_13) or (k249_1459546_11)
R00996	(k249_531167_36) or (k249_1459546_11)
R01056	k249_531167_37
R01158	(k249_545032_2) or (k249_798161_3)
R01163	(k249_545032_2) or (k249_798161_3)
R03012	(k249_545032_2) or (k249_798161_3)
R03013	k249_545032_2
R03243	(k249_545032_2) or (k249_798161_2)
R03457	k249_545032_2
R04558	(k249_545032_3) or (k249_545032_5)
R00756	(k249_545032_6) or (k249_945323_42)
R03236	(k249_545032_6) or (k249_945323_42)
R03237	(k249_545032_6) or (k249_945323_42)
R03238	(k249_545032_6) or (k249_945323_42)
R03239	(k249_545032_6) or (k249_945323_42)
R04779	(k249_545032_6) or (k249_945323_42)
R00212	k249_545032_7
R06987	k249_545032_7
R00602	k249_560581_1
R00698	k249_560581_1
R02670	k249_560581_1
R11906	k249_560581_1
R01676	(k249_560581_8) or (k249_2616098_1)
R00803	k249_568003_2
R04988	k249_568003_7
R09660	k249_568003_8
R00691	(k249_568003_11) or (k249_3244152_2)
R01373	(k249_568003_11) or (k249_3244152_2)
R01715	k249_568003_11
R01728	(k249_568003_11) or (k249_568003_12)
R00732	k249_568003_12
R02473	(k249_568003_13) or (k249_2970280_7)
R00094	k249_578838_7
R00115	k249_578838_7
R02094	k249_578838_27
R02098	k249_578838_27
R01090	(k249_578838_29) or (k249_1092266_1) or (k249_1129032_1)
R01214	(k249_578838_29) or (k249_1092266_1) or (k249_1129032_1)
R02199	(k249_578838_29) or (k249_1092266_1) or (k249_1129032_1)
R10991	(k249_578838_29) or (k249_1092266_1) or (k249_1129032_1)
R02413	(k249_578838_37) or (k249_1559805_3) or (k249_2188045_6)
R03191	(k249_578838_41) or (k249_659916_1)
R03192	(k249_578838_41) or (k249_659916_1)
R03351	(k249_578838_42) or (k249_578838_53)
R11396	(k249_578838_42) or (k249_578838_53)
R04657	(k249_578838_43) or (k249_2725021_7)
R01416	k249_578838_50
R03254	k249_578838_52
R03350	k249_578838_53
R07411	k249_594999_21
R07404	(k249_594999_30) or (k249_847715_1)
R01092	(k249_599558_1) or (k249_1645266_4)
R00955	k249_599558_2
R00396	k249_599558_4
R00028	(k249_608065_1) or (k249_798161_1) or (k249_888932_7)
R00802	(k249_608065_1) or (k249_798161_1) or (k249_888932_7)
R06087	(k249_608065_1) or (k249_798161_1) or (k249_888932_7)
R06088	(k249_608065_1) or (k249_798161_1) or (k249_888932_7)
R00842	k249_608065_20
R00844	k249_608065_20
R01714	k249_608065_26
R00711	k249_632589_2
R00829	(k249_633436_1) or (k249_759691_1)
R00927	(k249_633436_1) or (k249_759691_1)
R01177	(k249_633436_1) or (k249_759691_1)
R03778	(k249_633436_1) or (k249_759691_1)
R03858	(k249_633436_1) or (k249_759691_1)
R03991	(k249_633436_1) or (k249_759691_1)
R04546	(k249_633436_1) or (k249_759691_1)
R04742	(k249_633436_1) or (k249_759691_1)
R04747	(k249_633436_1) or (k249_759691_1)
R05506	(k249_633436_1) or (k249_759691_1)
R05586	(k249_633436_1) or (k249_759691_1)
R07891	(k249_633436_1) or (k249_759691_1)
R07895	(k249_633436_1) or (k249_759691_1)
R07899	(k249_633436_1) or (k249_759691_1)
R08091	(k249_633436_1) or (k249_759691_1)
R08095	(k249_633436_1) or (k249_759691_1)
R01975	k249_633436_2
R03026	k249_633436_2
R03045	k249_633436_2
R03276	k249_633436_2
R04137	k249_633436_2
R04170	k249_633436_2
R04203	k249_633436_2
R04204	k249_633436_2
R04224	k249_633436_2
R04737	k249_633436_2
R04738	k249_633436_2
R04739	k249_633436_2
R04740	k249_633436_2
R04741	k249_633436_2
R04744	k249_633436_2
R04745	k249_633436_2
R04746	k249_633436_2
R04748	k249_633436_2
R04749	k249_633436_2
R04756	k249_633436_2
R05066	(k249_633436_2) or (k249_1746777_10)
R05305	k249_633436_2
R06411	k249_633436_2
R06412	k249_633436_2
R06941	(k249_633436_2) or (k249_945323_32)
R06942	k249_633436_2
R07935	k249_633436_2
R07951	k249_633436_2
R08093	k249_633436_2
R08094	k249_633436_2
R00674	(k249_648967_3) or (k249_979359_8) or (k249_979359_9) or (k249_2950005_1)
R02340	(k249_648967_3) or (k249_979359_8) or (k249_979359_9) or (k249_2950005_1)
R02722	(k249_648967_3) or (k249_979359_8) or (k249_979359_9) or (k249_2950005_1)
R11072	(k249_648967_3) or (k249_2950005_1)
R00942	k249_648967_5
R02237	k249_648967_5
R04241	k249_648967_5
R01072	k249_648967_8
R07675	k249_653278_1
R08926	k249_653278_1
R10691	k249_653278_2
R05838	(k249_657971_9) or (k249_798161_30)
R00022	(k249_657971_10) or (k249_1984382_20)
R05963	(k249_657971_10) or (k249_1984382_20)
R07809	(k249_657971_10) or (k249_1984382_20)
R07810	(k249_657971_10) or (k249_1984382_20)
R10831	(k249_657971_10) or (k249_1984382_20)
R03132	k249_657971_12
R00336	(k249_657971_14) or (k249_2998397_10) or (k249_3722152_1)
R00429	(k249_657971_14) or (k249_2998397_10) or (k249_3722152_1)
R03193	k249_659916_2
R05032	(k249_659916_3) or (k249_659916_4)
R05662	(k249_659916_3) or (k249_659916_4)
R02783	k249_659916_5
R02864	(k249_679466_9) or (k249_955711_1)
